| end of split  19 /100 | epoch   3 | time: 963.55s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  20 /100 | epoch   3 | time: 964.00s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  21 /100 | epoch   3 | time: 963.62s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  22 /100 | epoch   3 | time: 964.19s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  23 /100 | epoch   3 | time: 967.99s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  24 /100 | epoch   3 | time: 963.57s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  25 /100 | epoch   3 | time: 964.14s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  26 /100 | epoch   3 | time: 963.44s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  27 /100 | epoch   3 | time: 962.98s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  28 /100 | epoch   3 | time: 964.08s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  29 /100 | epoch   3 | time: 962.77s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  30 /100 | epoch   3 | time: 964.59s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  31 /100 | epoch   3 | time: 964.16s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  32 /100 | epoch   3 | time: 963.34s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  33 /100 | epoch   3 | time: 963.62s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  34 /100 | epoch   3 | time: 964.42s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  35 /100 | epoch   3 | time: 964.10s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  36 /100 | epoch   3 | time: 963.47s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  37 /100 | epoch   3 | time: 963.67s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  38 /100 | epoch   3 | time: 968.45s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  39 /100 | epoch   3 | time: 963.79s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  40 /100 | epoch   3 | time: 965.06s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  41 /100 | epoch   3 | time: 963.42s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  42 /100 | epoch   3 | time: 969.82s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  43 /100 | epoch   3 | time: 964.25s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  44 /100 | epoch   3 | time: 963.62s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  45 /100 | epoch   3 | time: 963.72s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  46 /100 | epoch   3 | time: 963.22s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.31
| end of split  47 /100 | epoch   3 | time: 963.91s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.08
| end of split  48 /100 | epoch   3 | time: 964.43s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.08
| end of split  49 /100 | epoch   3 | time: 963.97s | valid loss  1.06 | valid ppl     2.90 | learning rate 0.08
