| end of split   9 /100 | epoch   2 | time: 989.13s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  10 /100 | epoch   2 | time: 998.26s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  11 /100 | epoch   2 | time: 983.66s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  12 /100 | epoch   2 | time: 990.68s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  13 /100 | epoch   2 | time: 992.37s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  14 /100 | epoch   2 | time: 988.64s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  15 /100 | epoch   2 | time: 1002.75s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  16 /100 | epoch   2 | time: 1000.44s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  17 /100 | epoch   2 | time: 996.74s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  18 /100 | epoch   2 | time: 993.49s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  19 /100 | epoch   2 | time: 993.40s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  20 /100 | epoch   2 | time: 153.66s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  21 /100 | epoch   2 | time: 985.19s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  22 /100 | epoch   2 | time: 992.93s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  23 /100 | epoch   2 | time: 994.11s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  24 /100 | epoch   2 | time: 992.36s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  25 /100 | epoch   2 | time: 988.95s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  26 /100 | epoch   2 | time: 990.15s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  27 /100 | epoch   2 | time: 991.25s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  28 /100 | epoch   2 | time: 986.60s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  29 /100 | epoch   2 | time: 991.48s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  30 /100 | epoch   2 | time: 987.92s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  31 /100 | epoch   2 | time: 992.30s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  32 /100 | epoch   2 | time: 1002.43s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  33 /100 | epoch   2 | time: 1006.40s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  34 /100 | epoch   2 | time: 992.84s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
